Year,Month,NumQuestions,AnsweredQuestions,AnswerRate,AcceptedQuestions,AcceptedRate,AvgMinutesToAccepted
2018,1,160527,134597,0.838469541,76188,0.474611748,16019
2018,2,153132,128411,0.838564115,72805,0.47543949,15905
2018,3,172986,144183,0.833495196,80993,0.46820552,15440
2018,4,162468,134944,0.830588177,75298,0.463463574,15420
2018,5,167776,138609,0.826155112,77180,0.460018119,15809
2018,6,154861,128027,0.826722028,70947,0.458133423,16205
2018,7,160068,132445,0.827429592,73470,0.458992428,15891
2018,8,158513,131853,0.831811902,73826,0.46574098,15624
2018,9,144553,120534,0.833839491,67362,0.466002089,15882
2018,10,160474,134034,0.835238107,74735,0.465714072,14957
2018,11,149787,124317,0.829958541,69593,0.464613084,15838
2018,12,132239,110069,0.832349004,61621,0.465982048,14690
2019,1,149598,124941,0.835178278,70111,0.468662683,13765
2019,2,146385,122324,0.835632066,68477,0.467787,14228
2019,3,161128,133802,0.830408123,74513,0.462446006,14107
2019,4,153542,126864,0.826249495,69774,0.454429407,13972
2019,5,151367,124739,0.824083189,68895,0.455152048,15163
2019,6,135917,112134,0.82501821,62145,0.457227573,14384
2019,7,151036,124672,0.825445589,68696,0.454831961,14491
2019,8,137154,114153,0.832298001,63748,0.464791402,13551
2019,9,136913,113710,0.830527415,61895,0.452075406,12425
2019,10,152689,126449,0.828147411,69115,0.452652123,13764
2019,11,148301,123222,0.830891228,66828,0.450624069,13575
2019,12,132589,110075,0.830197075,60412,0.455633574,13071
2020,1,146699,121127,0.825683883,66939,0.456301679,13040
2020,2,145164,119521,0.82335152,65585,0.451799344,14059
2020,3,156011,127315,0.816064252,70015,0.448782458,13316
2020,4,182975,150009,0.819833311,83540,0.456565105,13030
2020,5,186526,153265,0.821681696,85439,0.458054105,11521
2020,6,171965,140862,0.8191318,77394,0.450056698,11833
2020,7,166076,136693,0.823074978,75642,0.455466172,11744
2020,8,148399,122575,0.825982655,67892,0.457496344,11378
2020,9,141846,116575,0.821841998,64304,0.453336717,11311
2020,10,141861,116984,0.824638202,65299,0.460302691,10969
2020,11,135001,110744,0.820319849,62034,0.459507707,10534
2020,12,133954,109843,0.820005375,60587,0.452297057,10350
2021,1,139928,114752,0.820078898,63291,0.452311189,10611
2021,2,131736,107524,0.816208174,59329,0.450362847,11212
2021,3,148819,120335,0.808599708,65764,0.441905939,11006
2021,4,135928,109812,0.807868872,59516,0.43784945,9997
2021,5,133852,108539,0.810888145,58538,0.437333772,10296
2021,6,129051,104332,0.808455572,55725,0.43180603,10141
2021,7,124055,99900,0.805287977,53792,0.433614123,9920
2021,8,122233,99076,0.810550342,53167,0.434964371,10282
2021,9,119855,96691,0.806733136,51265,0.427725168,9870
2021,10,118971,96239,0.808928226,51226,0.430575518,9925
2021,11,119223,95104,0.797698431,50433,0.423014016,10260
2021,12,112240,89759,0.799705987,46976,0.418531718,10595
2022,1,119419,95668,0.801112051,50552,0.423316223,9949
2022,2,114076,90944,0.797222904,46885,0.410997931,10513
2022,3,123559,97712,0.790812486,49776,0.402852079,10526
2022,4,114343,90769,0.793830842,46142,0.403540225,9860
2022,5,116304,91849,0.789732081,46059,0.396022493,10234
2022,6,111701,88176,0.789393112,44473,0.398143257,9291
2022,7,111025,88232,0.794703896,44943,0.404800721,8718
2022,8,112999,89993,0.796405278,45971,0.406826609,8433
2022,9,103919,83258,0.80118169,42356,0.407586678,7601
2022,10,106321,84265,0.792552741,42853,0.403053019,7830
2022,11,109680,86472,0.788402626,43078,0.392760759,7855
2022,12,96674,76282,0.789064278,37860,0.391625463,7947
2023,1,97141,76116,0.783562039,38023,0.391420718,6895
2023,2,85930,66969,0.779343652,32892,0.382776679,7748
2023,3,87433,67586,0.773003328,33014,0.377591985,8427
2023,4,68702,52537,0.764708451,25182,0.366539548,9211
2023,5,66663,50514,0.757751676,24343,0.365165084,8965
2023,6,63789,47811,0.749517942,22650,0.355076894,9027
2023,7,62891,47323,0.752460606,22530,0.358238858,8778
2023,8,60254,45261,0.751170047,21682,0.35984333,9161
2023,9,52953,39713,0.749966952,19047,0.359696334,8493
2023,10,52617,40005,0.760305605,19013,0.361347093,7939
2023,11,50445,37568,0.744731886,17912,0.35507979,7754
2023,12,42441,31652,0.745788271,14865,0.350250937,7621
2024,1,47744,35761,0.749015583,17085,0.357846012,7487
2024,2,46127,34176,0.740910963,16045,0.347843996,6847
2024,3,44906,33502,0.746047299,15680,0.34917383,6513
2024,4,42606,31313,0.734943435,14626,0.343284983,6641
2024,5,40309,29531,0.732615545,13567,0.336574958,6373
2024,6,32163,23409,0.727823897,10905,0.339054193,6512
2024,7,31566,23764,0.752835329,11115,0.352119369,6419
2024,8,28011,21251,0.758666238,9886,0.352932776,6116
2024,9,24841,18592,0.748440079,8739,0.351797432,5968
2024,10,23247,17673,0.760227126,8269,0.355701811,5874
2024,11,20867,15607,0.747927349,7320,0.350793118,5939
2024,12,17993,13222,0.734841327,6136,0.341021508,6255
2025,1,18260,13684,0.74939759,6386,0.349726177,4791
2025,2,15754,11836,0.751301257,5489,0.348419449,4836
2025,3,18827,11577,0.61491475,5369,0.285175546,4561
2025,4,13901,8745,0.629091432,4058,0.291921445,5062
2025,5,11585,7476,0.645317221,3481,0.300474752,4751
2025,6,9223,6036,0.654450829,2791,0.302613033,4502
2025,7,7773,5195,0.668339123,2532,0.325742956,4348
2025,8,5857,3874,0.661430767,1940,0.331227591,4176
2025,9,6084,3802,0.624917817,1761,0.289447732,3690
2025,10,5366,3415,0.636414461,1639,0.30544167,3575
2025,11,4303,2831,0.657913084,1293,0.300488032,3244
2025,12,3358,2254,0.671232877,1029,0.3064324,3098
2026,1,3038,1957,0.644173799,932,0.306780777,2423
2026,2,2939,1536,0.522626744,665,0.226267438,1394
